prisonID,surname,forename,hair,eyes,height,conviction,open,dob
1182841,Monk,Calum,Grey,Hazel,1.74,Shoplifting,TRUE,1971-12-11
1624453,MacLean,Patrick,Black,Hazel,1.56,Arson,FALSE,2003-11-28
3366755,MacDougall,Kieran,None,Brown,2.29,Assault,FALSE,1985-02-16
3169018,MacLeod,Callum,Red,Black,2.04,Forgery,TRUE,1963-02-22
3574571,Young,Alan,White,Brown,2.18,Theft,FALSE,2001-12-16
3898324,MacArthur,Miyah,White,Grey,1.62,Vandalism,FALSE,1985-08-11
4316578,Campbell,Scott,Grey,Amber,1.59,Kidnapping,TRUE,1992-06-09
3027459,Millar,Ryan,None,Black,1.56,Bribery,TRUE,2003-05-12
3094428,McGuire,Seumas,Blond,Green,1.97,Burglary,TRUE,1977-03-05
1339093,Clark,Wendy,Blond,Black,2.03,Arson,TRUE,1974-01-08
1050361,MacIain,Shelly,None,Blue,1.52,Vandalism,TRUE,1965-01-09
3365772,Henderson,Ruairidh,White,Blue,2.13,Bribery,FALSE,1964-03-22
4917580,Monk,Seumas,Red,Brown,2.39,Assault,FALSE,1986-04-25
2180943,Mitchell,Calum,None,Brown,2.49,Extortion,TRUE,2001-09-27
4466569,Robertson,Julia,Blond,Blue,1.36,Forgery,FALSE,1996-10-20
3949995,Blackie,Domhnall,Red,Black,2.07,Kidnapping,TRUE,1974-08-03
3416639,MacNeil,Ryan,Grey,Black,1.36,Burglary,FALSE,1988-09-16
4533736,Simpson,Erin,Red,Black,1.66,Theft,FALSE,1963-02-26
1456418,Mitchell,Darren,Red,Brown,2.17,Arson,FALSE,1989-12-20
1173515,Blake,Wendy,Blond,Grey,1.3,Kidnapping,TRUE,1970-06-13
3826934,Docherty,John,White,Black,1.38,Burglary,FALSE,1963-02-02
2435374,Small,James,Grey,Brown,2.35,Burglary,FALSE,1992-01-12
2545845,Blackie,Domhnall,White,Grey,2.05,Robbery,TRUE,1994-08-04
4949292,Mitchell,Anthony,Brown,Green,2.24,Kidnapping,TRUE,1984-10-19
3445718,Campbell,Donald,Grey,Brown,2.18,Theft,TRUE,1986-02-19
1203821,Robertson,Ciara,Red,Black,2.09,Assault,TRUE,1992-09-25
4220251,Blackie,Findlay,Grey,Blue,1.61,Hacking,TRUE,1974-02-16
1129090,MacIain,Simon,Blond,Black,1.61,Drugs,TRUE,1975-05-09
1434989,MacIain,Donald,Brown,Black,1.97,Hacking,TRUE,1984-09-08
4131743,Paterson,Callum,Black,Grey,1.76,Robbery,TRUE,1990-07-05
4476235,Brown,Donald,Brown,Grey,2.24,Shoplifting,TRUE,1960-08-08
3887321,Blackie,Shelly,Grey,Grey,1.33,Extortion,TRUE,1988-11-30
1077631,Henderson,Julia,Blond,Brown,2.48,Forgery,TRUE,1976-05-14
3705666,Blackie,Seumas,None,Blue,2.18,Vandalism,FALSE,1974-12-03
2162280,MacArthur,Anthony,Grey,Black,1.56,Burglary,TRUE,2000-01-24
3683084,Small,Ryan,Blond,Hazel,1.89,Arson,FALSE,1969-11-24
2316935,Mitchell,Shelly,Grey,Amber,1.93,Kidnapping,TRUE,1969-09-27
2680347,McGuire,Erin,Brown,Hazel,1.38,Assault,TRUE,1964-12-08
4672612,Wilson,Anthony,Blond,Black,2.05,Shoplifting,TRUE,1983-08-06
4123379,Mitchell,Micheal,None,Hazel,2.35,Hacking,FALSE,1967-01-08
2065983,MacDougall,Stewart,White,Grey,2.27,Bribery,TRUE,1970-06-16
3150082,Stewart,Erin,Red,Blue,1.33,Bribery,TRUE,1967-12-15
4925415,Grant,Ruairidh,White,Amber,1.84,Forgery,TRUE,1964-07-22
2108986,Campbell,Andrew,White,Brown,2.16,Vandalism,TRUE,1974-11-18
1695758,Stewart,Alanna,White,Blue,1.6,Bribery,FALSE,1987-10-03
1350209,Smith,Angus,White,Grey,1.51,Extortion,FALSE,1997-02-03
2368418,Mitchell,Ryan,White,Grey,1.32,Shoplifting,TRUE,1986-08-19
4658838,Small,James,Black,Hazel,2.21,Shoplifting,FALSE,1963-12-14
2890975,Stewart,John,Grey,Blue,1.57,Robbery,TRUE,2000-07-27
3621408,Mitchell,Callum,Brown,Black,2.48,Burglary,FALSE,1980-01-28
3108389,Wilson,Anthony,Grey,Blue,1.94,Hacking,TRUE,1962-05-30
1771850,Monk,Angus,White,Amber,2.5,Kidnapping,TRUE,1985-11-30
4915651,Henderson,Roderick,Blond,Blue,1.5,Theft,FALSE,1986-01-06
1792138,Docherty,Callum,Brown,Black,2.49,Fraud,TRUE,1963-11-02
1491844,Ferguson,Robbie,Blond,Green,2.29,Cyberbullying,TRUE,2003-08-28
4237989,Docherty,Julia,Brown,Amber,1.61,Robbery,TRUE,1964-07-24
1885102,Mitchell,Findlay,None,Black,2.1,Shoplifting,TRUE,1960-10-19
1010311,MacLean,Vincent,White,Amber,2.33,Robbery,FALSE,1977-03-13
2822638,Friend,Callum,Grey,Amber,2.01,Forgery,TRUE,1973-02-25
2500482,Grant,John,Grey,Amber,1.75,Burglary,FALSE,1966-08-19
3381257,Simpson,Shelly,Black,Black,2.41,Arson,TRUE,1974-11-27
3936624,Friend,Vincent,Grey,Blue,2.28,Kidnapping,TRUE,1984-07-06
3579257,MacLean,Alexander,Red,Blue,2.41,Shoplifting,TRUE,2003-12-20
2020908,Henderson,Ruairidh,Blond,Green,2.36,Drugs,TRUE,1986-03-30
1011494,Robertson,Alanna,None,Grey,1.47,Drugs,TRUE,1978-10-08
3040976,MacIain,Callum,Red,Black,2.03,Arson,TRUE,1980-04-16
2859814,Ferguson,Alan,Brown,Brown,1.62,Arson,TRUE,1983-04-13
4694286,Thomson,Ruairidh,White,Hazel,1.92,Cyberbullying,TRUE,1999-07-23
2923912,MacArthur,Alan,Grey,Black,1.9,Theft,TRUE,1967-11-18
2972223,Ferguson,Roderick,Black,Blue,2.34,Hacking,TRUE,1981-05-21
4537485,Monk,Samuel,Brown,Brown,2.0,Kidnapping,FALSE,1982-08-25
4628199,Brown,Julia,Grey,Green,1.35,Extortion,TRUE,1976-01-19
1615499,MacDougall,Simon,Blond,Hazel,2.36,Burglary,TRUE,1977-05-28
1053386,MacKinnon,Roderick,None,Green,2.18,Arson,FALSE,1975-05-16
1656890,Smyth,Calum,White,Grey,1.68,Burglary,TRUE,1961-07-05
2476579,MacArthur,Stewart,None,Black,1.96,Hacking,TRUE,1996-04-09
3738566,MacNeil,Ruairidh,Brown,Brown,2.42,Shoplifting,FALSE,1960-04-16
4608294,Wilson,Stewart,Brown,Brown,2.34,Fraud,FALSE,1962-12-25
1395446,MacLean,Donald,White,Brown,2.09,Cyberbullying,TRUE,1962-04-01
1908783,Smiley,Liam,Red,Black,2.1,Shoplifting,TRUE,1985-01-13
1999665,MacArthur,Micheal,Black,Green,2.13,Cyberbullying,TRUE,1995-07-11
4376497,Small,Vincent,Brown,Blue,1.59,Bribery,TRUE,1974-07-17
1679818,Smith,Wendy,Black,Green,1.87,Extortion,TRUE,1977-03-30
3429430,Galbraith,Seumas,Red,Grey,2.06,Burglary,TRUE,1985-09-27
4832628,Brown,Domhnall,Grey,Black,1.71,Cyberbullying,TRUE,1987-04-21
2102132,Walker,Julia,Brown,Hazel,2.0,Kidnapping,TRUE,2000-08-05
4735292,Monk,John,White,Brown,1.36,Shoplifting,TRUE,1984-06-06
1846996,Millar,Wendy,Blond,Grey,1.55,Drugs,TRUE,1993-03-02
1452861,MacNeil,Craig,Red,Blue,1.43,Shoplifting,TRUE,1960-12-15
1067323,Campbell,Seumas,Grey,Green,1.87,Assault,TRUE,1982-11-26
1665766,Henderson,Shelly,White,Green,2.47,Fraud,TRUE,1991-04-30
4320574,Blackie,John,Blond,Grey,1.4,Hacking,TRUE,1984-07-14
3932461,Smith,Alan,Grey,Grey,2.0,Kidnapping,FALSE,1969-11-28
1334908,MacLean,Julia,Red,Blue,2.17,Robbery,TRUE,1986-06-14
1349413,Smiley,John,Brown,Hazel,1.65,Fraud,TRUE,1971-10-05
4315139,Friend,James,Red,Amber,2.02,Arson,TRUE,1976-09-28
2016179,Docherty,James,Black,Amber,1.34,Burglary,FALSE,1991-09-17
1156177,Smyth,Callum,Blond,Green,1.78,Fraud,TRUE,1978-05-23
4313064,Friend,Ian,Black,Brown,1.61,Assault,TRUE,1965-03-26
2620404,Stewart,Findlay,Grey,Hazel,2.35,Assault,TRUE,1994-04-03
1874534,Clark,Robbie,None,Blue,2.19,Forgery,TRUE,1969-10-30
1357739,Stewart,Miyah,Blond,Black,1.82,Extortion,TRUE,1962-10-25
4830358,Grant,Andrew,Brown,Hazel,1.48,Drugs,TRUE,1966-01-29
1648377,Young,Ciara,Grey,Hazel,1.34,Forgery,FALSE,1989-12-21
2771051,MacNeil,Calum,None,Blue,1.41,Fraud,FALSE,1978-05-22
2990919,Campbell,Dominic,Black,Brown,2.11,Assault,FALSE,1978-02-27
2368976,Millar,Seumas,Red,Hazel,1.85,Drugs,TRUE,1984-10-20
4543608,Friend,John,Blond,Amber,2.25,Robbery,TRUE,2004-03-28
4032030,Young,Calum,Brown,Grey,2.43,Assault,FALSE,1979-02-07
1284654,Irving,Donald,Grey,Amber,1.9,Burglary,TRUE,1992-04-20
3403242,Campbell,Robbie,Red,Amber,2.0,Hacking,FALSE,2002-12-19
3390626,MacDonald,Findlay,Brown,Green,2.06,Theft,TRUE,1990-01-15
1979804,Monk,Calum,Brown,Green,2.4,Robbery,TRUE,1981-05-08
1920461,Stewart,Erin,Black,Hazel,1.95,Extortion,TRUE,1964-08-06
4964787,MacKinnon,Ciara,Red,Amber,2.5,Extortion,TRUE,1970-10-23
1133421,Ferguson,Seumas,Brown,Grey,1.86,Extortion,FALSE,1964-12-17
4871288,Small,Seumas,Grey,Black,1.84,Theft,FALSE,1983-09-22
2914626,Grant,Andrew,Grey,Brown,2.01,Extortion,FALSE,1969-05-14
4008151,Smiley,Angus,None,Black,1.8,Theft,TRUE,1965-12-17
2250853,McGuire,Vincent,Black,Black,2.19,Kidnapping,TRUE,1994-04-14
4506983,Monk,Stewart,Red,Amber,2.07,Extortion,TRUE,1971-09-18
4559931,Smith,Ciara,Red,Amber,2.05,Bribery,TRUE,1989-01-13
2577358,Clark,Findlay,Black,Green,2.27,Burglary,FALSE,1991-12-12
2038119,Friend,Dominic,Grey,Hazel,2.18,Arson,TRUE,1991-04-10
4326444,Galbraith,Darren,Red,Brown,1.69,Vandalism,TRUE,1994-01-09
2868958,MacLean,Ruairidh,Black,Hazel,2.07,Shoplifting,TRUE,1990-11-17
3260997,Galbraith,Erin,Brown,Blue,2.37,Drugs,FALSE,1973-05-25
1277908,Henderson,Ryan,Black,Grey,1.74,Hacking,FALSE,1978-03-22
2935440,Davidson,Stewart,None,Blue,1.91,Cyberbullying,FALSE,1989-03-10
1851730,Stewart,Andrew,Grey,Green,2.36,Hacking,TRUE,1990-08-18
2727380,Blackie,Ruairidh,Blond,Black,2.35,Hacking,TRUE,1976-05-16
3777721,Robertson,John,Red,Brown,1.52,Theft,FALSE,2001-11-05
2711838,Brown,Erin,White,Amber,2.35,Vandalism,FALSE,1969-12-10
3624561,MacDonald,James,Brown,Hazel,2.1,Assault,FALSE,1972-05-07
3863568,Thomson,Stewart,Red,Green,2.0,Arson,FALSE,1991-05-30
1845062,Blake,Ciara,None,Black,1.71,Fraud,FALSE,1966-11-15
3540739,MacDonald,Dominic,Grey,Amber,1.7,Extortion,FALSE,1973-04-05
2677974,Blackie,Lincoln,None,Grey,2.31,Bribery,FALSE,1987-11-08
4311353,Irving,Ciara,Grey,Hazel,1.53,Drugs,FALSE,2002-08-05
1862501,MacKinnon,James,White,Blue,1.52,Fraud,TRUE,1973-07-24
4863907,Grant,Vincent,Blond,Blue,1.88,Robbery,FALSE,1962-02-25
3032273,McGuire,Ryan,Blond,Blue,1.47,Arson,FALSE,1961-12-14
2805618,MacDougall,Anthony,Black,Blue,2.38,Drugs,FALSE,1997-09-06
3536446,Friend,Miyah,White,Blue,1.32,Shoplifting,TRUE,1980-06-20
4815925,Smith,Darren,Brown,Black,1.42,Arson,FALSE,1974-11-17
2710551,Stewart,Darren,Red,Grey,1.65,Fraud,TRUE,1988-01-17
1645907,Smith,Domhnall,Brown,Blue,1.97,Fraud,TRUE,1963-04-07
4388330,Smyth,Erin,Black,Hazel,2.09,Assault,TRUE,2002-10-18
2940252,Smith,Erin,Blond,Amber,1.87,Shoplifting,TRUE,1994-02-06
3949146,Mitchell,Findlay,Brown,Green,2.13,Assault,TRUE,1983-05-16
2758947,Young,Ruairidh,Red,Black,1.36,Burglary,FALSE,1976-12-24
1875228,Campbell,Calum,Red,Hazel,1.42,Forgery,TRUE,1969-10-25
4530451,Small,Liam,Grey,Amber,2.41,Forgery,FALSE,1984-07-25
3931059,MacLeod,Domhnall,Black,Green,1.68,Assault,FALSE,1996-05-22
2034750,McGuire,Julia,Brown,Brown,1.73,Drugs,FALSE,1977-01-23
4047944,Robertson,Angus,Blond,Black,2.47,Extortion,TRUE,1998-05-29
4021269,MacDonald,Dominic,Black,Amber,1.47,Robbery,TRUE,1998-06-11
2652954,Wilson,Miyah,Grey,Grey,2.31,Assault,TRUE,2002-05-09
4207671,Smiley,Alanna,White,Grey,1.37,Drugs,TRUE,1987-07-14
1689080,Paterson,Ciara,Red,Blue,2.49,Forgery,TRUE,2002-02-02
1708400,MacArthur,Michael,Brown,Grey,1.5,Assault,TRUE,1996-09-27
3515238,Brown,Miyah,Red,Green,1.41,Hacking,TRUE,1977-09-27
1518463,Millar,Dominic,Brown,Brown,1.76,Kidnapping,TRUE,1973-01-11
1553774,McGuire,Ryan,Brown,Blue,1.43,Shoplifting,FALSE,1966-11-17
