addressID,firstLine,town,postcode,phone
66,31 Cleat,Isle of Barra,HS9 5XW,01871 890433
67,6 Leanish,Isle of Barra,HS9 5XP,01871 890743
68,87 Leanish,Isle of Barra,HS9 5XB,01871 890971
69,79 Bruernish,Isle of Barra,HS9 5YN,01871 890820
70,67 Scurrival,Isle of Barra,HS9 5UQ,01871 810208
71,67 Vatersay,Isle of Barra,HS9 5UR,01871 817207
72,43 Skallary,Isle of Barra,HS9 5YU,01871 810148
73,69 Cleat,Isle of Barra,HS9 5UH,01871 890186
74,41 Bolnabodach,Isle of Barra,HS9 5UQ,01871 810573
75,98 Garrygall,Isle of Barra,HS9 5XR,01871 810663
76,69 Bruernish,Isle of Barra,HS9 5UW,01871 890711
77,53 Northbay,Isle of Barra,HS9 5YA,01871 810155
78,59 Nask,Isle of Barra,HS9 5XU,01871 817177
79,59 Bruernish,Isle of Barra,HS9 5UL,01871 810575
80,11 Cleat,Isle of Barra,HS9 5YP,01871 810646
81,75 Bolnabodach,Isle of Barra,HS9 5YT,01871 817152
82,48 Craigston,Isle of Barra,HS9 5XR,01871 810691
83,87 Castlebay,Isle of Barra,HS9 5XE,01871 817438
84,75 Earsary,Isle of Barra,HS9 5XB,01871 817242
85,47 Ardmhor,Isle of Barra,HS9 5YA,01871 890858
86,73 Earsary,Isle of Barra,HS9 5XA,01871 890913
87,66 Cleat,Isle of Barra,HS9 5YJ,01871 810680
88,65 Northbay,Isle of Barra,HS9 5XA,01871 810682
89,9 Tangasdale,Isle of Barra,HS9 5UX,01871 810828
90,57 Skallary,Isle of Barra,HS9 5XU,01871 810821
91,85 Craigston,Isle of Barra,HS9 5UY,01871 890105
92,84 Brevig,Isle of Barra,HS9 5XH,01871 817536
93,32 Leanish,Isle of Barra,HS9 5YR,01871 810673
94,21 Leanish,Isle of Barra,HS9 5XU,01871 810530
95,48 Castlebay,Isle of Barra,HS9 5XB,01871 810751
96,28 Castlebay,Isle of Barra,HS9 5UY,01871 817879
97,1 Castlebay,Isle of Barra,HS9 5UY,01871 817318
98,66 Bruernish,Isle of Barra,HS9 5XT,01871 810922
99,20 Bolnabodach,Isle of Barra,HS9 5XW,01871 810964
100,85 Northbay,Isle of Barra,HS9 5YA,01871 817943
101,95 Castlebay,Isle of Barra,HS9 5YN,01871 890399
102,16 Tangasdale,Isle of Barra,HS9 5UY,01871 810553
103,88 Nask,Isle of Barra,HS9 5YR,01871 817940
104,12 Craigston,Isle of Barra,HS9 5XP,01871 810447
105,25 Craigston,Isle of Barra,HS9 5XZ,01871 817586
106,28 Vatersay,Isle of Barra,HS9 5XD,01871 890122
107,56 Glen,Isle of Barra,HS9 5YN,01871 817556
108,15 Borve,Isle of Barra,HS9 5YL,01871 810650
109,78 Vatersay,Isle of Barra,HS9 5YP,01871 817203
110,51 Ardmhor,Isle of Barra,HS9 5UH,01871 817679
111,24 Ardmhor,Isle of Barra,HS9 5UQ,01871 817887
112,75 Leanish,Isle of Barra,HS9 5XH,01871 890111
113,23 Bolnabodach,Isle of Barra,HS9 5YH,01871 810729
114,88 Tangasdale,Isle of Barra,HS9 5YA,01871 810500
115,39 Earsary,Isle of Barra,HS9 5XD,01871 810620
116,33 Earsary,Isle of Barra,HS9 5XU,01871 890382
117,6 Bolnabodach,Isle of Barra,HS9 5XA,01871 890726
118,56 Vatersay,Isle of Barra,HS9 5XU,01871 817686
119,39 Garrygall,Isle of Barra,HS9 5UT,01871 810397
120,40 Garrygall,Isle of Barra,HS9 5UP,01871 810542
121,94 Earsary,Isle of Barra,HS9 5UN,01871 810394
122,69 Borve,Isle of Barra,HS9 5UH,01871 890913
123,57 Craigston,Isle of Barra,HS9 5XJ,01871 810444
124,75 Glen,Isle of Barra,HS9 5YH,01871 890322
125,85 Skallary,Isle of Barra,HS9 5YZ,01871 810463
126,82 Horve,Isle of Barra,HS9 5UU,01871 890669
127,2 Horve,Isle of Barra,HS9 5YY,01871 810781
128,29 Garrygall,Isle of Barra,HS9 5UB,01871 890878
129,2 Vatersay,Isle of Barra,HS9 5UE,01871 890571
130,32 Scurrival,Isle of Barra,HS9 5UA,01871 810542
131,14 Brevig,Isle of Barra,HS9 5YA,01871 890794
132,90 Bolnabodach,Isle of Barra,HS9 5XN,01871 890492
133,94 Bruernish,Isle of Barra,HS9 5UQ,01871 890224
134,33 Skallary,Isle of Barra,HS9 5XW,01871 817601
135,43 Ardmhor,Isle of Barra,HS9 5UT,01871 890277
136,21 Allasdale,Isle of Barra,HS9 5YU,01871 810102
137,91 Ardmhor,Isle of Barra,HS9 5YZ,01871 817422
138,13 Bolnabodach,Isle of Barra,HS9 5YQ,01871 810574
139,6 Craigston,Isle of Barra,HS9 5XJ,01871 817862
140,67 Bolnabodach,Isle of Barra,HS9 5YX,01871 890889
142,52 Allasdale,Isle of Barra,HS9 5YW,01871 817437
143,3 Northbay,Isle of Barra,HS9 5XE,01871 890177
144,61 Eoligarry,Isle of Barra,HS9 5XJ,01871 890910
145,5 Skallary,Isle of Barra,HS9 5YJ,01871 890888
146,14 Leanish,Isle of Barra,HS9 5YJ,01871 817712
147,23 Garrygall,Isle of Barra,HS9 5YP,01871 890778
148,59 Skallary,Isle of Barra,HS9 5XD,01871 817564
149,93 Garrygall,Isle of Barra,HS9 5YN,01871 810397
150,43 Scurrival,Isle of Barra,HS9 5XW,01871 810342
151,86 Borve,Isle of Barra,HS9 5UY,01871 817935
152,90 Eoligarry,Isle of Barra,HS9 5XW,01871 810151
153,97 Scurrival,Isle of Barra,HS9 5YJ,01871 890444
154,2 Leanish,Isle of Barra,HS9 5YE,01871 817935
155,52 Skallary,Isle of Barra,HS9 5XY,01871 810475
156,54 Craigston,Isle of Barra,HS9 5UT,01871 817104
157,81 Cleat,Isle of Barra,HS9 5YT,01871 810747
158,15 Garrygall,Isle of Barra,HS9 5XR,01871 817551
159,83 Brevig,Isle of Barra,HS9 5UL,01871 817779
160,25 Nask,Isle of Barra,HS9 5YN,01871 890631
161,11 Eoligarry,Isle of Barra,HS9 5YT,01871 890899
162,7 Allasdale,Isle of Barra,HS9 5UD,01871 817717
163,73 Castlebay,Isle of Barra,HS9 5YT,01871 817354
164,37 Cleat,Isle of Barra,HS9 5YY,01871 817438
165,5 Garrygall,Isle of Barra,HS9 5XZ,01871 817165
166,97 Bruernish,Isle of Barra,HS9 5XH,01871 817341
167,30 Leanish,Isle of Barra,HS9 5YW,01871 890306
168,30 Craigston,Isle of Barra,HS9 5UY,01871 810344
169,83 Bruernish,Isle of Barra,HS9 5XU,01871 890652
170,6 Skallary,Isle of Barra,HS9 5XW,01871 817629
171,16 Garrygall,Isle of Barra,HS9 5YU,01871 817278
172,59 Earsary,Isle of Barra,HS9 5UP,01871 810272
173,11 Glen,Isle of Barra,HS9 5YU,01871 810902
174,84 Skallary,Isle of Barra,HS9 5UT,01871 817997
175,10 Castlebay,Isle of Barra,HS9 5YR,01871 890853
176,74 Allasdale,Isle of Barra,HS9 5UT,01871 810259
177,9 Scurrival,Isle of Barra,HS9 5XH,01871 817462
178,36 Leanish,Isle of Barra,HS9 5XR,01871 810702
179,65 Brevig,Isle of Barra,HS9 5UJ,01871 890885
180,58 Bolnabodach,Isle of Barra,HS9 5UL,01871 817952
181,31 Leanish,Isle of Barra,HS9 5UY,01871 810404
182,54 Craigston,Isle of Barra,HS9 5UT,01871 817104
183,32 Ardmhor,Isle of Barra,HS9 5YZ,01871 810468
184,7 Allasdale,Isle of Barra,HS9 5UD,01871 817717
185,20 Allasdale,Isle of Barra,HS9 5UL,01871 817746
186,62 Ardmhor,Isle of Barra,HS9 5UZ,01871 817921
187,19 Horve,Isle of Barra,HS9 5UJ,01871 810853
188,49 Brevig,Isle of Barra,HS9 5YW,01871 817874
189,73 Ardmhor,Isle of Barra,HS9 5YD,01871 817635
190,47 Ardmhor,Isle of Barra,HS9 5YA,01871 890858
191,9 Tangasdale,Isle of Barra,HS9 5UX,01871 810828
192,1 Tangasdale,Isle of Barra,HS9 5UA,01871 817107
193,72 Vatersay,Isle of Barra,HS9 5XR,01871 810471
194,90 Craigston,Isle of Barra,HS9 5XU,01871 817571
195,45 Brevig,Isle of Barra,HS9 5XD,01871 810175
196,59 Horve,Isle of Barra,HS9 5XH,01871 817216
197,84 Bruernish,Isle of Barra,HS9 5YY,01871 810736
198,94 Eoligarry,Isle of Barra,HS9 5YL,01871 810202
199,3 Brevig,Isle of Barra,HS9 5XU,01871 817866
200,16 Ardmhor,Isle of Barra,HS9 5XA,01871 810556
201,80 Vatersay,Isle of Barra,HS9 5XT,01871 810671
202,16 Vatersay,Isle of Barra,HS9 5YB,01871 817618
203,12 Northbay,Isle of Barra,HS9 5YP,01871 810740
204,96 Earsary,Isle of Barra,HS9 5XU,01871 890958
205,79 Cleat,Isle of Barra,HS9 5YZ,01871 810780
206,98 Leanish,Isle of Barra,HS9 5UY,01871 890544
207,62 Garrygall,Isle of Barra,HS9 5YB,01871 817217
208,81 Northbay,Isle of Barra,HS9 5YY,01871 817892
209,73 Bruernish,Isle of Barra,HS9 5UT,01871 817488
210,47 Leanish,Isle of Barra,HS9 5YH,01871 817194
211,90 Bolnabodach,Isle of Barra,HS9 5XN,01871 890492
212,23 Earsary,Isle of Barra,HS9 5YR,01871 810474
213,92 Glen,Isle of Barra,HS9 5YH,01871 890692
214,95 Skallary,Isle of Barra,HS9 5YD,01871 817103
215,46 Skallary,Isle of Barra,HS9 5XT,01871 817752
