id,lastName,firstName,house,year,age
62,Wright,James,1,S2,13
63,Thompson,Ruairidh,4,S5,16
64,Gray,Aiden,2,S4,15
65,Irving,Julie,4,S1,12
66,Campbell,Robbie,4,S4,15
67,Frost,David,4,S6,17
68,Evans,Roderick,4,S5,16
69,Moore,Wendy,1,S6,17
70,Frost,Darren,1,S5,16
71,Peters,Michael,2,S2,13
72,Murray,Caitlin,1,S2,13
73,Evans,Mary,3,S5,16
74,Simpson,Copper,1,S2,13
75,Davies,Julie,1,S1,12
76,Friend,Peter,2,S6,17
77,Russell,Rachel,4,S1,12
78,Burgess,Adam,4,S2,13
79,Roberts,Stewart,3,S6,17
80,Wilson,Caralisa,4,S2,13
81,MacKenzie,Erin,4,S4,15
82,Russell,Michael,3,S6,17
83,Robertson,Niamh,4,S6,17
84,Graham,Joan,3,S2,13
85,Howart,Owen,1,S2,13
86,Paterson,Roderick,3,S1,12
87,Hewitt,Zoey,1,S1,12
88,Stone,Iain Ruairidh,2,S6,17
89,MacDonald,Domhnall,2,S4,15
90,Friend,Sharon,2,S3,14
91,Robertson,India,2,S4,15
92,Irving,Paul,1,S1,12
93,Holby,Sally,1,S4,11
94,Hunter,Emily,3,S6,17
95,MacKinnon,Kieran,2,S2,13
96,MacKinnon,Innes,4,S3,14
97,MacKinnon,Roderick,2,S5,16
98,Irving,Sophie,4,S2,13
99,Russell,Katie,2,S1,12
100,Cameron,Gary,2,S6,17
101,Allan,Pamela,3,S1,12
102,McGuire,Louise,1,S5,16
103,Roberts,Elaine,3,S5,16
104,Burgess,Hudson,3,S4,15
105,Simpson,Sharon,3,S1,12
106,Young,Aimee,1,S2,13
107,Graham,Vincent,4,S5,16
108,Brown,James,2,S6,17
109,Galbraith,Ciara,4,S5,16
110,Walker,Lewis,4,S5,16
111,MacArthur,Simon,3,S3,14
112,Cameron,Gary,4,S5,16
113,Galbraith,Holly,3,S2,13
114,Watson,Craig,3,S4,15
115,Docherty,Alexander,2,S6,17
116,Peters,Aonghas,2,S1,12
117,Austin,Domhnall,4,S2,13
118,Kennedy,Sam,4,S6,17
119,Nicholson,Owen,2,S6,17
120,Kennedy,Iain Ruairidh,2,S3,14
121,Evans,Hudson,1,S4,15
122,Stokes,Jennifer,1,S3,14
123,Gillies,Ava,2,S3,14
124,Henderson,India,3,S2,13
125,Ferguson,Seumas,4,S5,16
126,Lambert,Alan,4,S3,14
127,Grant,Seumas,2,S6,17
128,Graham,James,3,S6,17
129,Burgess,Gary,2,S4,15
130,Hughes,Jamie,2,S4,15
131,Peters,Gary,2,S4,15
132,Johnston,Calum,3,S5,16
133,O'Carroll,Micheal,4,S3,14
134,O'Carroll,Carol,2,S4,15
135,Jones,Caralisa,1,S5,16
136,Duncan,Niamh,1,S3,14
137,Mackay,Catherine,4,S3,14
138,Roberts,David,2,S1,12
139,Fraser,Sandra,2,S6,17
140,Higgins,Mason,4,S1,12
141,Beaton,David,3,S4,15
142,Robertson,Ella,1,S3,14
143,Evans,Jane,1,S5,16
144,Griffin,Martin,3,S6,17
145,Thomas,Holly,2,S2,13
146,MacArthur,Michael,4,S5,16
147,Blackie,Lincoln,4,S5,16
148,Porter,Robert,2,S3,14
149,Robertson,Hudson,3,S2,13
150,Bell,Ruairidh,1,S2,13
151,Murray,Sarah,4,S4,15
152,Mackay,Joan,4,S2,13
153,Hawkings,Sandra,4,S2,13
154,Hardy,Thomas,3,S4,15
155,Gillies,Miyah,3,S2,13
156,O'Carroll,Angus,3,S6,17
157,Stewart,Simon,3,S2,13
158,Peters,Mason,1,S4,15
159,MacIain,Sandra,2,S1,12
160,Small,Ryan,2,S4,15
161,O'Carroll,Barbara,2,S4,15
162,Irving,Iain,3,S4,15
163,Allan,Heather,3,S3,14
164,Grant,Katie,4,S4,15
165,MacIain,Ruairidh,2,S3,14
166,Hill,Mark,4,S3,14
167,MacArthur,Anthony,4,S2,13
168,Irving,Lewis,4,S5,16
169,Wright,Sophie,2,S6,17
170,Smith,James,2,S2,13
171,McIntyre,Angus,4,S3,14
172,MacLean,Alexander,4,S5,16
173,Robertson,Scott,2,S3,14
174,Cooper,Ethan,2,S6,17
175,Taylor,Seumas,4,S4,15
176,Graham,Ian,1,S5,16
177,Smyth,India,3,S3,14
178,Graham,Alistair,2,S4,15
179,Cameron,Stewart,2,S5,16
180,Hawkings,Mairead,4,S4,15
181,Stokes,Caralisa,4,S4,15
182,Boyd,Andrew,4,S3,14
183,MacLean,Lorna,3,S5,16
184,Swinney,Graham,1,S1,12
185,Macpherson,Summer,3,S5,16
186,MacKinnon,Ian,1,S6,17
187,Blake,Mairi,2,S4,15
188,Goodwin,Jamie,3,S2,13
189,Brown,Liam,3,S5,16
190,Kelly,Neil,3,S1,12
191,Boyd,Laura,3,S4,15
192,Irving,Isabella,1,S1,12
193,Beaton,Fay,2,S4,15
194,Young,Alanna,4,S6,17
195,Wright,Calum,2,S3,14
196,McGuire,Michelle,3,S6,17
197,Jones,Stephen,1,S4,15
198,Brown,Alanna,2,S3,14
199,Fraser,Lacey,3,S2,13
200,Shepherd,Hannah,2,S5,16
201,Robinson,Steven,4,S3,14
202,Gibson,Miyah,2,S1,12
203,Stone,Charles,4,S5,16
204,Beaton,Mark,4,S3,14
205,Fifth,Colin,3,S5,13
206,Cooper,William,3,S4,15
207,Wright,Lorna,2,S3,14
208,Turner,Lincoln,2,S4,15
209,MacDougall,Colin,1,S1,12
210,Mackay,Keith,1,S2,13
211,MacLeod,Heather,4,S1,12
212,Henderson,Ross,3,S4,15
213,Porter,Heather,3,S5,16
214,Bell,James,4,S3,14
215,MacArthur,Erin,4,S2,13
216,Ferguson,Colin,2,S6,17
217,Cameron,Angus,2,S5,16
218,Wood,Micheal,4,S5,16
219,Paterson,Liam,4,S4,15
220,Hawkings,Darren,4,S2,13
221,Hamilton,Jamie,1,S1,12
222,O'Carroll,Sarah,2,S1,12
223,Thomas,Ethan,3,S2,13
224,Marshall,Stuart,2,S4,15
225,Duncan,Louise,1,S2,13
226,Nicholson,Lincoln,2,S3,14
227,Roberts,Miyah,1,S5,16
228,Peters,Mairi,3,S3,14
229,Baker,Alistair,1,S6,17
230,Allan,Sarah,2,S6,17
231,Kerr,Jean,4,S4,15
232,Thomson,Pamela,2,S5,16
233,Kelly,Kevin,1,S1,12
234,Coleman,Lisa,1,S1,12
235,Simpson,Finlay,3,S4,15
236,Fraser,Ethan,1,S6,17
237,Wood,Dominic,1,S6,17
238,Fraser,Niamh,4,S2,13
239,Monk,Hugh,4,S3,14
240,Berry,Maureen,1,S2,13
241,Mackay,Ross,3,S3,14
242,Beaton,Martin,4,S5,16
243,Duncan,Erin,3,S1,12
244,Yates,Sandra,3,S3,14
245,Gillies,Maureen,4,S4,15
246,Clark,Peter,2,S6,17
247,Jones,Seumas,4,S1,12
248,Hamilton,Mairi,4,S1,12
249,Blackie,Miyah,3,S3,14
250,McIntyre,Ross,3,S2,13
251,Griffin,Maureen,4,S5,16
252,Roberts,Karen,3,S6,17
253,Davidson,Thomas,4,S6,17
254,Robinson,Robbie,4,S6,17
255,Yates,George,3,S6,17
256,Sharp,Stuart,3,S4,15
257,Thompson,Keith,3,S5,16
258,Morrison,Elizabeth,4,S1,12
259,Stewart,Martin,4,S2,13
260,O'Carroll,Anthony,2,S4,15
261,MacLeod,Aonghas,4,S3,14
262,Manford,Mairi,1,S3,14
263,Austin,Innes,4,S4,15
264,Davies,Janet,2,S3,14
265,Shepherd,Liam,1,S1,12
266,Hill,Michelle,1,S1,12
267,Cooper,Laura,1,S2,13
268,Mackay,Niamh,4,S2,13
269,MacKenzie,Eilidh,4,S3,14
270,Boyd,Ethan,4,S3,14
271,Swinney,Richard,3,S5,16
272,Daly,Summer,2,S4,15
273,Friend,Elizabeth,4,S5,16
274,MacKinnon,India,2,S4,15
275,MacKinnon,Gary,3,S2,13
276,Frost,Hudson,2,S5,16
277,Friend,Ian,4,S5,16
278,Bull,John,3,S1,11
279,Monk,Summer,3,S4,15
280,Murray,Lacey,3,S5,16
281,Cooper,Domhnall,3,S4,15
282,Allan,Lorna,2,S6,17
283,Warren,David,4,S5,16
284,MacLean,Gordon,1,S3,14
285,Newton,Alanna,1,S5,16
286,Henderson,Charlie,2,S4,15
287,McIntyre,Louise,3,S6,17
288,Smyth,Innes,2,S6,17
289,Cameron,Lewis,4,S5,16
290,Hunter,Ross,3,S3,14
291,Hewitt,Sharon,2,S6,17
292,Wood,Matthew,2,S6,17
293,Howart,Emma,4,S3,14
294,Hamilton,Isabella,1,S4,15
295,Grant,Elaine,1,S5,16
296,Wallace,Lily,2,S5,16
297,Smyth,Fiona,1,S4,15
298,Blackie,Aonghas,1,S3,14
299,Coleman,Fiona,2,S2,13
300,Monk,Samuel,4,S5,16
