id,lastName,firstName,house,year,age
125,Millar,Oliver,4,S4,15
126,Walker,Domhnall,1,S3,14
127,Docherty,Angus,4,S5,16
128,Young,Maddison,4,S6,17
129,Friend,Jamie,3,S4,15
130,MacDonald,Sophie,1,S6,17
131,Blake,Alanna,2,S3,14
132,Friend,James,2,S3,14
133,Stewart,Anthony,1,S5,16
134,Robertson,Iain,2,S4,15
135,MacLeod,Ross,4,S5,16
136,Boyd,Craig,3,S3,14
137,MacLean,Lacey,1,S5,16
138,Walker,Mairi,2,S5,16
139,MacKinnon,Anthony,1,S3,14
140,Robertson,Seumas,1,S4,15
141,Kearney,Calum,3,S4,15
142,Small,Ross,3,S2,13
143,Simpson,Stewart,4,S4,15
144,MacIsaac,Erin,4,S5,16
145,Grant,Rachel,3,S4,15
146,Brown,Mason,2,S3,14
147,Nicholson,Robbie,4,S2,13
148,Irving,Maddison,2,S4,15
149,Henderson,Ian,4,S2,13
150,Kearney,Ciara,3,S5,16
151,Henderson,Alexander,3,S2,13
152,Boyd,Domhnall,3,S5,16
153,Campbell,Patrick,2,S5,16
154,Ferguson,Seonaidh,4,S1,12
155,McGuire,Alanna,2,S1,12
156,Smyth,James,4,S5,16
157,Mitchell,Ross,4,S3,14
158,Monk,Findlay,3,S4,15
159,MacIain,Wendy,2,S1,12
160,Daly,Ava,3,S2,13
161,Monk,Innes,4,S2,13
162,Irving,Alexander,4,S5,16
163,Docherty,Aonghas,3,S5,16
164,Brown,Miyah,1,S4,15
165,Walker,Erin,2,S6,17
166,Johnson,Ian,3,S3,14
167,Clark,Mairi,3,S2,13
168,Simpson,Patrick,1,S1,12
169,Ferguson,Mason,4,S1,12
170,Kearney,Alanna,2,S4,15
171,Walker,Andrew,3,S6,17
172,Mitchell,Sophie,3,S5,16
173,Smith,Ian,2,S2,13
174,Campbell,Maddison,4,S6,17
175,Millar,Dominic,2,S4,15
176,Jones,Miyah,1,S1,12
177,Blackie,Ian,4,S4,15
178,MacNeil,Alanna,2,S6,17
179,MacKinnon,Lincoln,2,S5,16
180,Johnson,Roderick,3,S1,12
181,Blackie,Caitlin,3,S2,13
182,Wilson,Mason,3,S6,17
183,McGuire,Julia,2,S1,12
184,Thomson,Rowan,2,S1,12
185,Thomson,Darren,4,S5,16
186,Stewart,Dominic,1,S4,15
187,McIntyre,Innes,3,S6,17
188,MacIsaac,Sophie,3,S6,17
189,Millar,Roderick,3,S4,15
190,Smyth,Donald,1,S2,13
191,Brown,Angus,2,S2,13
192,Clark,Findlay,4,S5,16
193,Walker,Dominic,3,S4,15
194,Ferguson,Rowan,2,S2,13
195,MacLeod,Lacey,3,S1,12
196,MacNeil,Lewis,4,S6,17
197,Monk,Jamie,4,S5,16
198,Henderson,Owen,1,S6,17
199,Ferguson,Robbie,2,S5,16
200,Thomson,Miyah,1,S2,13
201,MacLean,Aonghas,3,S6,17
202,Wilson,Miyah,3,S2,13
203,Simpson,Ross,3,S1,12
204,Nicholson,Wendy,2,S3,14
205,Fifth,Colin,1,S5,13
206,Paterson,Liam,4,S4,15
207,McIntyre,Thomas,2,S1,12
208,MacLean,Donald,4,S5,16
209,Walker,Ava,2,S1,12
210,Galbraith,Callum,2,S5,16
211,MacIain,Simon,2,S5,16
212,Walker,Lewis,4,S4,17
213,MacIain,Aimee,1,S1,12
214,MacIsaac,Sophie,3,S5,16
215,MacArthur,Liam,4,S5,16
216,Ferguson,Seumas,3,S5,16
217,Docherty,Erin,4,S5,16
218,Simpson,Craig,3,S6,17
219,Millar,Innes,2,S6,17
220,MacLean,John,3,S1,12
221,Kearney,Micheal,3,S5,16
222,Grant,Ava,3,S3,14
223,Young,Sam,4,S2,13
224,MacArthur,Liam,2,S4,15
225,McIntyre,John,2,S2,13
226,MacDonald,Ruairidh,1,S4,15
227,Walker,Iain,1,S3,14
228,Daly,Simon,4,S6,17
229,Smiley,Darren,3,S5,16
230,Paterson,Callum,3,S3,14
231,Nicholson,Innes,2,S4,15
232,Thomson,Jamie,4,S3,14
233,Davidson,Lewis,3,S5,16
234,Smyth,Niamh,3,S6,17
235,MacLean,Ruairidh,2,S4,15
236,Jones,Simon,3,S1,12
237,Grant,Mason,3,S6,17
238,Mitchell,Seumas,2,S5,16
239,Galbraith,Wendy,4,S5,16
240,Smith,Darren,4,S2,13
241,Blackie,Calum,2,S1,12
242,Mitchell,Kieran,1,S3,14
243,Blackie,Liam,2,S1,12
244,MacLeod,Vincent,1,S4,15
245,Campbell,Angus,1,S5,16
246,Campbell,Ruairidh,1,S2,13
247,McIntyre,Alanna,1,S5,16
248,Mitchell,Rowan,2,S4,15
249,Blake,Seumas,1,S2,13
250,Docherty,Kieran,1,S2,13
251,Smiley,Ethan,1,S4,15
252,Young,Caralisa,2,S5,16
253,Ferguson,Julia,1,S6,17
254,Henderson,Anthony,3,S6,17
255,MacDougall,Miyah,4,S5,16
256,Clark,Simon,1,S2,13
257,McGuire,Ciara,4,S3,14
258,Young,Calum,1,S5,16
259,MacLeod,Erin,3,S5,16
260,MacLeod,Liam,3,S6,17
261,MacLean,Erin,1,S4,15
262,Daly,Robbie,3,S1,12
263,Blackie,Aonghas,4,S4,15
264,MacDougall,Seonaidh,2,S2,13
265,MacIsaac,John,2,S6,17
266,McGuire,Mairi,1,S2,13
267,Ferguson,Aonghas,2,S5,16
268,Kearney,Micheal,2,S6,17
269,Millar,Erin,2,S6,17
270,Wilson,Rowan,4,S4,15
271,Brown,Stewart,1,S6,17
272,Brown,Andrew,1,S6,17
273,Kearney,Donald,4,S4,15
274,Daly,Robbie,1,S1,12
275,Robertson,Callum,1,S4,15
276,Docherty,Ciara,2,S3,14
277,Robertson,Craig,3,S5,16
278,Bull,John,2,S1,11
279,MacIain,Angus,3,S6,17
280,Clark,Ruairidh,3,S2,13
281,MacArthur,Stewart,2,S4,15
282,Davidson,Anthony,4,S2,13
283,Small,Domhnall,1,S1,12
284,McGuire,Seumas,4,S5,15
285,MacArthur,Innes,4,S6,17
286,Smyth,Calum,3,S2,13
287,Jones,Rowan,2,S4,15
288,Campbell,Scott,4,S5,14
289,Nicholson,Ethan,3,S6,17
290,Campbell,Ava,4,S6,17
291,Paterson,Shelly,1,S1,12
292,Stewart,Thomas,1,S3,14
293,Young,Jamie,3,S6,17
294,Docherty,Maddison,4,S2,13
295,Simpson,Miyah,1,S6,17
296,Thomson,Roderick,3,S6,17
297,Simpson,Anthony,3,S4,15
298,Small,Jamie,3,S6,17
299,Walker,Rowan,1,S3,14
300,Daly,Mason,2,S6,17
