id,lastName,firstName,house,year,age
83,Bell,Niamh,1,S3,14
84,Grant,Colin,2,S6,17
85,Green,Alan,4,S1,12
86,Ward,Pamela,4,S6,17
87,Lambert,Derek,4,S6,17
88,Taylor,Seumas,4,S2,13
89,Thomson,Alanna,1,S5,16
90,Burgess,Katie,4,S2,13
91,MacKinnon,Susan,1,S4,15
92,Evans,Thomas,1,S5,16
93,Holby,Sally,1,S4,11
94,Stokes,Rowan,2,S3,14
95,Russell,Susan,3,S4,15
96,Davidson,Lisa,1,S2,13
97,Irving,Copper,3,S5,16
98,Coleman,Isabella,1,S6,17
99,Thomson,Alison,4,S3,14
100,Kearney,Rowan,2,S3,14
101,Yates,Peter,2,S6,17
102,Docherty,Roderick,3,S5,16
103,Martin,Iain,4,S5,16
104,Young,Carol,2,S4,15
105,O'Carroll,Rowan,1,S5,16
106,Manford,Seumas,1,S2,13
107,Berry,Finlay,1,S2,13
108,Edwards,Ciara,1,S4,15
109,Thompson,Joan,3,S4,15
110,Davies,Adam,2,S5,16
111,Goodwin,Janet,4,S1,12
112,Campbell,Domhnall,1,S6,17
113,Morrison,Martin,1,S4,15
114,Thomas,Sarah,2,S1,12
115,Graham,Elizabeth,3,S6,17
116,Hunter,Sarah,4,S2,13
117,Stokes,Elizabeth,2,S3,14
118,Murray,Joan,2,S3,14
119,Yates,Christ,4,S2,13
120,O'Carroll,Anne,4,S3,14
121,Young,Ciara,1,S6,17
122,O'Carroll,Micheal,4,S3,14
123,Kennedy,David,3,S2,13
124,MacLeod,Heather,2,S1,12
125,Ward,Elaine,3,S2,13
126,Reid,John,2,S4,15
127,Burgess,Jane,2,S3,14
128,Monk,Samuel,4,S5,16
129,McIntyre,Lily,3,S2,13
130,Smith,Danielle,2,S2,13
131,Wilson,Martin,4,S1,12
132,Stone,Stephen,2,S5,16
133,Barton,Rowan,1,S5,16
134,Hardy,Ruairidh,4,S6,17
135,Davidson,Fiona,3,S5,16
136,MacKinnon,Catherine,4,S1,12
137,MacKechnie,Sophie,1,S5,16
138,Moore,Susan,2,S4,15
139,Yates,Martin,4,S6,17
140,Smiley,Micheal,1,S6,17
141,Stokes,Mary,3,S5,16
142,McIntyre,Simon,4,S3,14
143,MacKechnie,Heather,4,S2,13
144,Higgins,Seonaidh,3,S1,12
145,Blake,Iain,1,S4,15
146,MacDougall,Jane,4,S1,12
147,MacNeil,Sam,4,S1,12
148,Thompson,Olivia,3,S5,16
149,Small,Angus,4,S6,17
150,Young,Ella,3,S4,15
151,MacLeod,John,4,S3,14
152,MacLean,Alexander,1,S1,12
153,Kearney,Lynn,2,S4,15
154,Monk,Martin,1,S3,14
155,Docherty,India,1,S5,16
156,Irving,Lewis,4,S5,16
157,Griffin,Donald,1,S1,12
158,Clark,Mary,1,S4,15
159,Henderson,Fiona,3,S2,13
160,Jones,Sharon,4,S4,15
161,Henderson,Finlay,4,S2,13
162,Porter,George,1,S2,13
163,Robertson,Dominic,4,S4,15
164,Wright,Paul,1,S2,13
165,Clark,Graham,3,S5,16
166,Henderson,Jean,2,S3,14
167,Macpherson,George,4,S5,16
168,Smith,Derek,4,S4,15
169,Ross,Helen,4,S4,15
170,Wood,Gordon,2,S1,12
171,Simpson,Isabella,2,S4,15
172,Watson,Danielle,1,S5,16
173,Henderson,Alexander,3,S3,14
174,Taylor,Patrick,2,S4,15
175,O'Brien,Amy,1,S4,15
176,Austin,Vincent,3,S1,12
177,Gibson,Danieal,1,S5,16
178,Berry,Ealasaid,4,S2,13
179,Black,Katie,4,S4,15
180,Higgins,Andrew,1,S2,13
181,Brown,James,2,S5,16
182,Evans,Christine,2,S6,17
183,Stewart,Lily,4,S5,16
184,MacArthur,Thomas,2,S4,15
185,McGuire,Laura,2,S3,14
186,Ferguson,Keith,3,S6,17
187,Docherty,Niamh,2,S2,13
188,Galbraith,Mark,4,S6,17
189,Shepherd,Mirren,4,S5,16
190,MacLean,Alexander,4,S5,16
191,MacLean,Charlie,2,S5,16
192,Irving,Kieran,4,S4,15
193,Hewitt,Douglas,4,S5,16
194,Green,Eilidh,3,S1,12
195,Docherty,Lincoln,4,S6,17
196,Goodwin,Mirren,1,S5,16
197,Davidson,Margaret,4,S5,16
198,Daly,Emma,3,S2,13
199,Roberts,Robert,1,S1,12
200,Thomson,Mairead,4,S3,14
201,Ferguson,Olivia,4,S3,14
202,Blackie,Lynn,3,S1,12
203,Friend,Patrick,2,S1,12
204,Anderson,Patrick,2,S2,13
205,Fifth,Colin,4,S5,13
206,Marshall,Karen,1,S5,16
207,Stokes,James,4,S3,14
208,Swinney,Oliver,3,S1,12
209,Frost,Aimee,2,S3,14
210,Smyth,Olivia,3,S2,13
211,Kennedy,Danielle,2,S5,16
212,Thompson,Barbara,2,S3,14
213,Kennedy,Aimee,4,S3,14
214,Warren,Adam,4,S3,14
215,Mackay,Philip,1,S6,17
216,MacArthur,Hugh,2,S6,17
217,Coleman,Maureen,2,S1,12
218,Irving,Richard,2,S3,14
219,Wood,Patrick,3,S2,13
220,Beaton,Sam,2,S6,17
221,Nicholson,Kevin,1,S4,15
222,Mackay,Owen,4,S2,13
223,Kennedy,Alison,4,S5,16
224,MacDonald,India,4,S4,15
225,Paterson,Finlay,4,S1,12
226,Monk,Emma,2,S3,14
227,MacKinnon,Innes,4,S3,14
228,MacIain,India,3,S4,15
229,Warren,Ella,4,S2,13
230,Davidson,Seumas,1,S6,17
231,Hill,Iain,4,S4,15
232,MacLeod,Aonghas,4,S3,14
233,Irving,Hugh,4,S2,13
234,Thompson,Simon,1,S3,14
235,Irving,Emma,4,S5,16
236,Evans,Fay,4,S3,14
237,Anderson,Nicola,1,S5,16
238,Shepherd,Simon,2,S2,13
239,Henderson,Gillian,2,S4,15
240,Burgess,Fay,3,S2,13
241,Blackie,Thomas,1,S4,15
242,Thompson,Mirren,4,S6,17
243,Stewart,Iain Ruairidh,2,S4,15
244,MacLean,Iain Ruairidh,4,S3,14
245,Hardy,Alexander,3,S2,13
246,Hill,Louise,3,S3,14
247,Morrison,Robert,1,S5,16
248,Gray,Olivia,3,S6,17
249,McGuire,Seonaidh,4,S2,13
250,Stokes,Andrew,3,S6,17
251,Thomas,Alistair,1,S6,17
252,Morrison,Maria,4,S3,14
253,Osborne,Patricia,2,S6,17
254,Frost,Miyah,3,S6,17
255,Galbraith,Seumas,4,S3,14
256,MacLeod,Michael,4,S3,14
257,MacKinnon,Holly,4,S3,14
258,MacKechnie,Alison,3,S5,16
259,Stokes,Kieran,1,S1,12
260,Kelly,David,2,S4,15
261,Scott,Claire,2,S4,15
262,MacLean,Sarah,1,S3,14
263,Wright,Elaine,1,S3,14
264,Macpherson,Shelly,2,S5,16
265,Docherty,Jamie,4,S3,14
266,Frost,Stephen,4,S4,15
267,Manford,Karen,1,S6,17
268,MacDougall,Sharon,2,S4,15
269,Taylor,Elizabeth,2,S5,16
270,Blackie,Lincoln,4,S5,16
271,MacNeil,Ethan,4,S3,14
272,Jones,Philip,2,S6,17
273,Galbraith,Lincoln,2,S6,17
274,Mitchell,Gary,4,S6,17
275,Paterson,Liam,4,S4,15
276,Swinney,Dominic,1,S4,15
277,Brown,Olivia,3,S4,15
278,Bull,John,1,S1,11
279,MacNeil,Nicola,3,S6,17
280,Hawkings,Anthony,3,S1,12
281,Stewart,Alanna,1,S6,17
282,Osborne,Ryan,2,S2,13
283,Ross,Niamh,4,S2,13
284,Warren,Peter,1,S6,17
285,Monk,Iain,2,S4,15
286,Grant,India,2,S3,14
287,Stewart,Graham,1,S6,17
288,Cooper,Alistair,3,S6,17
289,Stone,Summer,2,S3,14
290,Higgins,Alanna,4,S5,16
291,Hewitt,Claire,4,S4,15
292,Beaton,Michael,4,S5,16
293,Bell,Mairead,3,S6,17
294,Ross,Alexander,4,S5,16
295,Taylor,Iain Ruairidh,1,S1,12
296,Black,Rachel,3,S6,17
297,MacKinnon,Lynn,2,S4,15
298,Turner,Alan,3,S2,13
299,Mitchell,Alison,1,S5,16
300,Friend,Ian,4,S5,16
