address_id,pupil_id,first_line,town,postcode,phone
81,81,75 Bolnabodach,Isle of Barra,HS9 5YT, 01871 817152
82,82,48 Craigston,Isle of Barra,HS9 5XR, 01871 810691
83,83,87 Castlebay,Isle of Barra,HS9 5XE, 01871 817438
84,84,75 Earsary,Isle of Barra,HS9 5XB, 01871 817242
85,85,47 Ardmhor,Isle of Barra,HS9 5YA, 01871 890858
86,86,73 Earsary,Isle of Barra,HS9 5XA, 01871 890913
87,87,66 Cleat,Isle of Barra,HS9 5YJ, 01871 810680
88,88,65 Northbay,Isle of Barra,HS9 5XA, 01871 810682
89,89,9 Tangasdale,Isle of Barra,HS9 5UX, 01871 810828
90,90,57 Skallary,Isle of Barra,HS9 5XU, 01871 810821
91,91,85 Craigston,Isle of Barra,HS9 5UY, 01871 890105
92,92,84 Brevig,Isle of Barra,HS9 5XH, 01871 817536
93,93,32 Leanish,Isle of Barra,HS9 5YR, 01871 810673
94,94,21 Leanish,Isle of Barra,HS9 5XU, 01871 810530
95,95,48 Castlebay,Isle of Barra,HS9 5XB, 01871 810751
96,96,28 Castlebay,Isle of Barra,HS9 5UY, 01871 817879
97,97,1 Castlebay,Isle of Barra,HS9 5UY, 01871 817318
98,98,66 Bruernish,Isle of Barra,HS9 5XT, 01871 810922
99,99,20 Bolnabodach,Isle of Barra,HS9 5XW, 01871 810964
100,100,85 Northbay,Isle of Barra,HS9 5YA, 01871 817943
101,101,95 Castlebay,Isle of Barra,HS9 5YN, 01871 890399
102,102,16 Tangasdale,Isle of Barra,HS9 5UY, 01871 810553
103,103,88 Nask,Isle of Barra,HS9 5YR, 01871 817940
104,104,12 Craigston,Isle of Barra,HS9 5XP, 01871 810447
105,105,25 Craigston,Isle of Barra,HS9 5XZ, 01871 817586
106,106,28 Vatersay,Isle of Barra,HS9 5XD, 01871 890122
107,107,56 Glen,Isle of Barra,HS9 5YN, 01871 817556
108,108,15 Borve,Isle of Barra,HS9 5YL, 01871 810650
109,109,78 Vatersay,Isle of Barra,HS9 5YP, 01871 817203
110,110,51 Ardmhor,Isle of Barra,HS9 5UH, 01871 817679
111,111,24 Ardmhor,Isle of Barra,HS9 5UQ, 01871 817887
112,112,75 Leanish,Isle of Barra,HS9 5XH, 01871 890111
113,113,23 Bolnabodach,Isle of Barra,HS9 5YH, 01871 810729
114,114,88 Tangasdale,Isle of Barra,HS9 5YA, 01871 810500
115,115,39 Earsary,Isle of Barra,HS9 5XD, 01871 810620
116,116,33 Earsary,Isle of Barra,HS9 5XU, 01871 890382
117,117,6 Bolnabodach,Isle of Barra,HS9 5XA, 01871 890726
118,118,56 Vatersay,Isle of Barra,HS9 5XU, 01871 817686
119,119,39 Garrygall,Isle of Barra,HS9 5UT, 01871 810397
120,120,40 Garrygall,Isle of Barra,HS9 5UP, 01871 810542
121,121,94 Earsary,Isle of Barra,HS9 5UN, 01871 810394
122,122,69 Borve,Isle of Barra,HS9 5UH, 01871 890913
123,123,57 Craigston,Isle of Barra,HS9 5XJ, 01871 810444
124,124,75 Glen,Isle of Barra,HS9 5YH, 01871 890322
125,125,85 Skallary,Isle of Barra,HS9 5YZ, 01871 810463
126,126,82 Horve,Isle of Barra,HS9 5UU, 01871 890669
127,127,2 Horve,Isle of Barra,HS9 5YY, 01871 810781
128,128,29 Garrygall,Isle of Barra,HS9 5UB, 01871 890878
129,129,2 Vatersay,Isle of Barra,HS9 5UE, 01871 890571
130,130,32 Scurrival,Isle of Barra,HS9 5UA, 01871 810542
131,131,14 Brevig,Isle of Barra,HS9 5YA, 01871 890794
132,132,90 Bolnabodach,Isle of Barra,HS9 5XN, 01871 890492
133,133,94 Bruernish,Isle of Barra,HS9 5UQ, 01871 890224
134,134,33 Skallary,Isle of Barra,HS9 5XW, 01871 817601
135,135,43 Ardmhor,Isle of Barra,HS9 5UT, 01871 890277
136,136,21 Allasdale,Isle of Barra,HS9 5YU, 01871 810102
137,137,91 Ardmhor,Isle of Barra,HS9 5YZ, 01871 817422
138,138,13 Bolnabodach,Isle of Barra,HS9 5YQ, 01871 810574
139,139,6 Craigston,Isle of Barra,HS9 5XJ, 01871 817862
140,140,67 Bolnabodach,Isle of Barra,HS9 5YX, 01871 890889
142,142,52 Allasdale,Isle of Barra,HS9 5YW, 01871 817437
143,143,3 Northbay,Isle of Barra,HS9 5XE, 01871 890177
144,144,61 Eoligarry,Isle of Barra,HS9 5XJ, 01871 890910
145,145,5 Skallary,Isle of Barra,HS9 5YJ, 01871 890888
146,146,14 Leanish,Isle of Barra,HS9 5YJ, 01871 817712
147,147,23 Garrygall,Isle of Barra,HS9 5YP, 01871 890778
148,148,59 Skallary,Isle of Barra,HS9 5XD, 01871 817564
149,149,93 Garrygall,Isle of Barra,HS9 5YN, 01871 810397
150,150,43 Scurrival,Isle of Barra,HS9 5XW, 01871 810342
151,151,86 Borve,Isle of Barra,HS9 5UY, 01871 817935
152,152,90 Eoligarry,Isle of Barra,HS9 5XW, 01871 810151
153,153,97 Scurrival,Isle of Barra,HS9 5YJ, 01871 890444
154,154,2 Leanish,Isle of Barra,HS9 5YE, 01871 817935
155,155,52 Skallary,Isle of Barra,HS9 5XY, 01871 810475
156,156,54 Craigston,Isle of Barra,HS9 5UT, 01871 817104
157,157,81 Cleat,Isle of Barra,HS9 5YT, 01871 810747
158,158,15 Garrygall,Isle of Barra,HS9 5XR, 01871 817551
159,159,83 Brevig,Isle of Barra,HS9 5UL, 01871 817779
160,160,25 Nask,Isle of Barra,HS9 5YN, 01871 890631
161,161,11 Eoligarry,Isle of Barra,HS9 5YT, 01871 890899
162,162,7 Allasdale,Isle of Barra,HS9 5UD, 01871 817717
163,163,73 Castlebay,Isle of Barra,HS9 5YT, 01871 817354
164,164,37 Cleat,Isle of Barra,HS9 5YY, 01871 817438
165,165,5 Garrygall,Isle of Barra,HS9 5XZ, 01871 817165
166,166,97 Bruernish,Isle of Barra,HS9 5XH, 01871 817341
167,167,30 Leanish,Isle of Barra,HS9 5YW, 01871 890306
168,168,30 Craigston,Isle of Barra,HS9 5UY, 01871 810344
169,169,83 Bruernish,Isle of Barra,HS9 5XU, 01871 890652
170,170,6 Skallary,Isle of Barra,HS9 5XW, 01871 817629
171,171,16 Garrygall,Isle of Barra,HS9 5YU, 01871 817278
172,172,59 Earsary,Isle of Barra,HS9 5UP, 01871 810272
173,173,11 Glen,Isle of Barra,HS9 5YU, 01871 810902
174,174,84 Skallary,Isle of Barra,HS9 5UT, 01871 817997
175,175,10 Castlebay,Isle of Barra,HS9 5YR, 01871 890853
176,176,74 Allasdale,Isle of Barra,HS9 5UT, 01871 810259
177,177,9 Scurrival,Isle of Barra,HS9 5XH, 01871 817462
178,178,36 Leanish,Isle of Barra,HS9 5XR, 01871 810702
179,179,65 Brevig,Isle of Barra,HS9 5UJ, 01871 890885
180,180,58 Bolnabodach,Isle of Barra,HS9 5UL, 01871 817952
181,181,31 Leanish,Isle of Barra,HS9 5UY, 01871 810404
182,182,54 Craigston,Isle of Barra,HS9 5UT, 01871 817104
183,183,32 Ardmhor,Isle of Barra,HS9 5YZ, 01871 810468
184,184,7 Allasdale,Isle of Barra,HS9 5UD, 01871 817717
185,185,20 Allasdale,Isle of Barra,HS9 5UL, 01871 817746
186,186,62 Ardmhor,Isle of Barra,HS9 5UZ, 01871 817921
187,187,19 Horve,Isle of Barra,HS9 5UJ, 01871 810853
188,188,49 Brevig,Isle of Barra,HS9 5YW, 01871 817874
189,189,73 Ardmhor,Isle of Barra,HS9 5YD, 01871 817635
190,190,47 Ardmhor,Isle of Barra,HS9 5YA, 01871 890858
191,191,9 Tangasdale,Isle of Barra,HS9 5UX, 01871 810828
192,192,1 Tangasdale,Isle of Barra,HS9 5UA, 01871 817107
193,193,72 Vatersay,Isle of Barra,HS9 5XR, 01871 810471
194,194,90 Craigston,Isle of Barra,HS9 5XU, 01871 817571
195,195,45 Brevig,Isle of Barra,HS9 5XD, 01871 810175
196,196,59 Horve,Isle of Barra,HS9 5XH, 01871 817216
197,197,84 Bruernish,Isle of Barra,HS9 5YY, 01871 810736
198,198,94 Eoligarry,Isle of Barra,HS9 5YL, 01871 810202
199,199,3 Brevig,Isle of Barra,HS9 5XU, 01871 817866
200,200,16 Ardmhor,Isle of Barra,HS9 5XA, 01871 810556
201,201,80 Vatersay,Isle of Barra,HS9 5XT, 01871 810671
202,202,16 Vatersay,Isle of Barra,HS9 5YB, 01871 817618
203,203,12 Northbay,Isle of Barra,HS9 5YP, 01871 810740
204,204,96 Earsary,Isle of Barra,HS9 5XU, 01871 890958
205,205,79 Cleat,Isle of Barra,HS9 5YZ, 01871 810780
206,206,98 Leanish,Isle of Barra,HS9 5UY, 01871 890544
207,207,62 Garrygall,Isle of Barra,HS9 5YB, 01871 817217
208,208,81 Northbay,Isle of Barra,HS9 5YY, 01871 817892
209,209,73 Bruernish,Isle of Barra,HS9 5UT, 01871 817488
210,210,47 Leanish,Isle of Barra,HS9 5YH, 01871 817194
211,211,90 Bolnabodach,Isle of Barra,HS9 5XN, 01871 890492
212,212,23 Earsary,Isle of Barra,HS9 5YR, 01871 810474
213,213,92 Glen,Isle of Barra,HS9 5YH, 01871 890692
214,214,95 Skallary,Isle of Barra,HS9 5YD, 01871 817103
215,215,46 Skallary,Isle of Barra,HS9 5XT, 01871 817752
216,216,99 Brevig,Isle of Barra,HS9 5YP, 01871 817598
217,217,19 Bolnabodach,Isle of Barra,HS9 5XH, 01871 890469
218,218,17 Bruernish,Isle of Barra,HS9 5YP, 01871 890577
219,219,90 Craigston,Isle of Barra,HS9 5XU, 01871 817571
220,220,67 Cleat,Isle of Barra,HS9 5UN, 01871 890157
221,221,58 Cleat,Isle of Barra,HS9 5XJ, 01871 890200
222,222,30 Craigston,Isle of Barra,HS9 5UY, 01871 810344
223,223,69 Glen,Isle of Barra,HS9 5YY, 01871 817682
224,224,54 Allasdale,Isle of Barra,HS9 5YP, 01871 817294
225,225,67 Skallary,Isle of Barra,HS9 5YH, 01871 817973
226,226,80 Vatersay,Isle of Barra,HS9 5XT, 01871 810671
227,227,59 Nask,Isle of Barra,HS9 5XU, 01871 817177
228,228,18 Bolnabodach,Isle of Barra,HS9 5XR, 01871 890940
229,229,34 Borve,Isle of Barra,HS9 5UY, 01871 810338
230,230,45 Borve,Isle of Barra,HS9 5XP, 01871 817232
231,231,24 Bruernish,Isle of Barra,HS9 5UL, 01871 810619
232,232,38 Craigston,Isle of Barra,HS9 5XU, 01871 890594
233,233,18 Horve,Isle of Barra,HS9 5XH, 01871 890183
234,234,54 Glen,Isle of Barra,HS9 5YA, 01871 810856
235,235,28 Scurrival,Isle of Barra,HS9 5YP, 01871 890227
236,236,76 Bolnabodach,Isle of Barra,HS9 5YB, 01871 890241
237,237,84 Skallary,Isle of Barra,HS9 5UT, 01871 817997
238,238,57 Vatersay,Isle of Barra,HS9 5YX, 01871 890348
239,239,88 Garrygall,Isle of Barra,HS9 5YE, 01871 817735
240,240,34 Bolnabodach,Isle of Barra,HS9 5UE, 01871 817663
241,241,48 Castlebay,Isle of Barra,HS9 5XB, 01871 810751
242,242,23 Ardmhor,Isle of Barra,HS9 5YE, 01871 817805
243,243,19 Northbay,Isle of Barra,HS9 5UT, 01871 890732
244,244,26 Scurrival,Isle of Barra,HS9 5YP, 01871 817760
245,245,23 Bruernish,Isle of Barra,HS9 5UR, 01871 810740
246,246,96 Borve,Isle of Barra,HS9 5YH, 01871 890594
247,247,82 Borve,Isle of Barra,HS9 5YD, 01871 817984
248,248,57 Glen,Isle of Barra,HS9 5UB, 01871 810996
249,249,24 Glen,Isle of Barra,HS9 5YP, 01871 890860
250,250,35 Glen,Isle of Barra,HS9 5XY, 01871 890622
251,251,69 Northbay,Isle of Barra,HS9 5UX, 01871 810440
252,252,18 Scurrival,Isle of Barra,HS9 5UN, 01871 890757
253,253,75 Leanish,Isle of Barra,HS9 5XH, 01871 890111
254,254,2 Nask,Isle of Barra,HS9 5UT, 01871 890142
255,255,59 Vatersay,Isle of Barra,HS9 5UN, 01871 890962
256,256,14 Skallary,Isle of Barra,HS9 5YR, 01871 890757
257,257,10 Ardmhor,Isle of Barra,HS9 5UW, 01871 817970
258,258,88 Skallary,Isle of Barra,HS9 5XH, 01871 890672
259,259,93 Craigston,Isle of Barra,HS9 5YW, 01871 810403
260,260,59 Bruernish,Isle of Barra,HS9 5UL, 01871 810575
261,261,24 Bruernish,Isle of Barra,HS9 5UL, 01871 810619
262,262,30 Craigston,Isle of Barra,HS9 5UY, 01871 810344
263,263,2 Cleat,Isle of Barra,HS9 5YD, 01871 890152
264,264,71 Garrygall,Isle of Barra,HS9 5XZ, 01871 817253
265,265,39 Bolnabodach,Isle of Barra,HS9 5UA, 01871 817650
266,266,56 Brevig,Isle of Barra,HS9 5YP, 01871 817385
267,267,44 Earsary,Isle of Barra,HS9 5UU, 01871 890920
268,268,42 Earsary,Isle of Barra,HS9 5UD, 01871 817708
269,269,99 Ardmhor,Isle of Barra,HS9 5YR, 01871 890516
270,270,96 Craigston,Isle of Barra,HS9 5XB, 01871 817715
271,271,6 Northbay,Isle of Barra,HS9 5UB, 01871 810683
272,272,26 Borve,Isle of Barra,HS9 5YN, 01871 890182
273,273,61 Craigston,Isle of Barra,HS9 5UT, 01871 890560
274,274,57 Garrygall,Isle of Barra,HS9 5XH, 01871 810314
275,275,70 Cleat,Isle of Barra,HS9 5YB, 01871 890249
276,276,35 Leanish,Isle of Barra,HS9 5YH, 01871 817779
277,277,3 Borve,Isle of Barra,HS9 5XN, 01871 890172
278,278,51 Scurrival,Isle of Barra,HS9 5YL, 01871 810814
279,279,34 Nask,Isle of Barra,HS9 5XA, 01871 810120
280,280,79 Scurrival,Isle of Barra,HS9 5UD, 01871 890951
281,281,78 Borve,Isle of Barra,HS9 5YB, 01871 817473
282,282,93 Craigston,Isle of Barra,HS9 5YW, 01871 810403
283,283,48 Eoligarry,Isle of Barra,HS9 5UU, 01871 810232
284,284,8 Eoligarry,Isle of Barra,HS9 5XP, 01871 817843
285,285,23 Craigston,Isle of Barra,HS9 5XZ, 01871 810298
286,286,36 Vatersay,Isle of Barra,HS9 5XA, 01871 817359
287,287,54 Garrygall,Isle of Barra,HS9 5YW, 01871 817382
288,288,92 Borve,Isle of Barra,HS9 5XX, 01871 810137
289,289,63 Vatersay,Isle of Barra,HS9 5UT, 01871 817831
290,290,58 Bruernish,Isle of Barra,HS9 5UD, 01871 890673
291,291,60 Craigston,Isle of Barra,HS9 5YN, 01871 817408
292,292,20 Scurrival,Isle of Barra,HS9 5UP, 01871 817694
293,293,36 Bolnabodach,Isle of Barra,HS9 5UD, 01871 817672
294,294,39 Eoligarry,Isle of Barra,HS9 5UB, 01871 810699
295,295,33 Castlebay,Isle of Barra,HS9 5UJ, 01871 810195
296,296,37 Eoligarry,Isle of Barra,HS9 5XN, 01871 890110
297,297,21 Horve,Isle of Barra,HS9 5XW, 01871 810650
298,298,57 Borve,Isle of Barra,HS9 5XR, 01871 890509
299,299,76 Ardmhor,Isle of Barra,HS9 5YH, 01871 810885
300,300,91 Cleat,Isle of Barra,HS9 5XP, 01871 817601
301,301,91 Nask,Isle of Barra,HS9 5XA, 01871 810437
302,302,95 Eoligarry,Isle of Barra,HS9 5XL, 01871 810407
303,303,31 Tangasdale,Isle of Barra,HS9 5UD, 01871 890401
304,304,96 Allasdale,Isle of Barra,HS9 5XQ, 01871 817775
305,305,34 Eoligarry,Isle of Barra,HS9 5UE, 01871 890662
306,306,29 Northbay,Isle of Barra,HS9 5XY, 01871 817225
307,307,84 Vatersay,Isle of Barra,HS9 5XZ, 01871 817127
308,308,23 Castlebay,Isle of Barra,HS9 5XA, 01871 817250
309,309,82 Tangasdale,Isle of Barra,HS9 5UX, 01871 810437
310,310,76 Nask,Isle of Barra,HS9 5YN, 01871 810494
311,311,96 Nask,Isle of Barra,HS9 5XP, 01871 810676
312,312,39 Skallary,Isle of Barra,HS9 5UE, 01871 890719
313,313,47 Scurrival,Isle of Barra,HS9 5YB, 01871 810595
314,314,58 Scurrival,Isle of Barra,HS9 5UT, 01871 810811
315,315,61 Nask,Isle of Barra,HS9 5XE, 01871 890449
316,316,80 Garrygall,Isle of Barra,HS9 5UB, 01871 810964
317,317,38 Ardmhor,Isle of Barra,HS9 5XQ, 01871 817556
318,318,53 Leanish,Isle of Barra,HS9 5XL, 01871 817414
319,319,45 Bruernish,Isle of Barra,HS9 5XY, 01871 810890
320,320,74 Earsary,Isle of Barra,HS9 5YX, 01871 890791
321,321,4 Castlebay,Isle of Barra,HS9 5UU, 01871 817259
322,322,62 Tangasdale,Isle of Barra,HS9 5YW, 01871 890110
323,323,97 Borve,Isle of Barra,HS9 5UE, 01871 817881
324,324,85 Allasdale,Isle of Barra,HS9 5YR, 01871 817916
325,325,97 Glen,Isle of Barra,HS9 5XE, 01871 810471
326,326,57 Glen,Isle of Barra,HS9 5UB, 01871 810996
327,327,59 Skallary,Isle of Barra,HS9 5XD, 01871 817564
328,328,19 Borve,Isle of Barra,HS9 5UE, 01871 890100
329,329,98 Northbay,Isle of Barra,HS9 5XD, 01871 810449
330,330,5 Bolnabodach,Isle of Barra,HS9 5YJ, 01871 810937
331,331,75 Skallary,Isle of Barra,HS9 5UE, 01871 817256
332,332,44 Eoligarry,Isle of Barra,HS9 5YP, 01871 810870
333,333,52 Brevig,Isle of Barra,HS9 5YN, 01871 817564
334,334,70 Ardmhor,Isle of Barra,HS9 5XQ, 01871 810120
335,335,4 Ardmhor,Isle of Barra,HS9 5YA, 01871 817835
336,336,53 Nask,Isle of Barra,HS9 5YL, 01871 890114
337,337,48 Bolnabodach,Isle of Barra,HS9 5UA, 01871 810284
338,338,58 Allasdale,Isle of Barra,HS9 5UP, 01871 890953
339,339,13 Allasdale,Isle of Barra,HS9 5XN, 01871 810303
340,340,74 Earsary,Isle of Barra,HS9 5YX, 01871 890791
341,341,70 Nask,Isle of Barra,HS9 5YZ, 01871 817247
342,342,66 Earsary,Isle of Barra,HS9 5UY, 01871 810503
343,343,36 Bruernish,Isle of Barra,HS9 5YN, 01871 810565
344,344,52 Nask,Isle of Barra,HS9 5XJ, 01871 810827
345,345,24 Horve,Isle of Barra,HS9 5YA, 01871 817373
346,346,93 Borve,Isle of Barra,HS9 5XT, 01871 810394
347,347,47 Borve,Isle of Barra,HS9 5UU, 01871 817529
348,348,45 Garrygall,Isle of Barra,HS9 5XW, 01871 810561
349,349,69 Vatersay,Isle of Barra,HS9 5YE, 01871 817970
350,350,76 Borve,Isle of Barra,HS9 5UT, 01871 817677
351,351,9 Craigston,Isle of Barra,HS9 5XJ, 01871 810539
352,352,76 Garrygall,Isle of Barra,HS9 5XP, 01871 890278
353,353,8 Glen,Isle of Barra,HS9 5UR, 01871 810980
354,354,62 Bruernish,Isle of Barra,HS9 5YQ, 01871 890501
355,355,50 Allasdale,Isle of Barra,HS9 5XY, 01871 817599
356,356,54 Allasdale,Isle of Barra,HS9 5YT, 01871 817687
357,357,70 Horve,Isle of Barra,HS9 5XB, 01871 890652
358,358,30 Skallary,Isle of Barra,HS9 5UR, 01871 890367
359,359,63 Nask,Isle of Barra,HS9 5XB, 01871 817743
360,360,29 Craigston,Isle of Barra,HS9 5YQ, 01871 890734
361,361,27 Bruernish,Isle of Barra,HS9 5UA, 01871 817944
362,362,81 Garrygall,Isle of Barra,HS9 5YZ, 01871 890414
363,363,40 Skallary,Isle of Barra,HS9 5XB, 01871 890492
364,364,64 Brevig,Isle of Barra,HS9 5UB, 01871 817899
365,365,35 Brevig,Isle of Barra,HS9 5XT, 01871 890128
366,366,92 Earsary,Isle of Barra,HS9 5YR, 01871 817698
367,367,68 Eoligarry,Isle of Barra,HS9 5YT, 01871 810481
368,368,85 Craigston,Isle of Barra,HS9 5UY, 01871 890105
369,369,53 Vatersay,Isle of Barra,HS9 5XL, 01871 817908
370,370,13 Horve,Isle of Barra,HS9 5XE, 01871 817413
371,371,95 Garrygall,Isle of Barra,HS9 5YU, 01871 810173
372,372,7 Borve,Isle of Barra,HS9 5XA, 01871 817964
373,373,95 Garrygall,Isle of Barra,HS9 5YU, 01871 810173
374,374,18 Nask,Isle of Barra,HS9 5UQ, 01871 890686
375,375,62 Eoligarry,Isle of Barra,HS9 5XL, 01871 810361
376,376,55 Tangasdale,Isle of Barra,HS9 5XB, 01871 810647
377,377,44 Scurrival,Isle of Barra,HS9 5UN, 01871 810931
378,378,42 Craigston,Isle of Barra,HS9 5UH, 01871 810293
379,379,89 Brevig,Isle of Barra,HS9 5XY, 01871 817655
380,380,1 Garrygall,Isle of Barra,HS9 5XN, 01871 817261
381,381,66 Ardmhor,Isle of Barra,HS9 5UP, 01871 890548
382,382,59 Allasdale,Isle of Barra,HS9 5XP, 01871 817615
383,383,16 Scurrival,Isle of Barra,HS9 5YY, 01871 890835
384,384,57 Garrygall,Isle of Barra,HS9 5XH, 01871 810314
385,385,76 Brevig,Isle of Barra,HS9 5YX, 01871 810959
386,386,83 Tangasdale,Isle of Barra,HS9 5XR, 01871 890617
387,387,2 Ardmhor,Isle of Barra,HS9 5UA, 01871 890943
388,388,43 Horve,Isle of Barra,HS9 5YJ, 01871 817838
389,389,73 Bruernish,Isle of Barra,HS9 5UT, 01871 817488
390,390,91 Castlebay,Isle of Barra,HS9 5YN, 01871 810209
391,391,26 Northbay,Isle of Barra,HS9 5YB, 01871 890305
392,392,86 Bruernish,Isle of Barra,HS9 5UD, 01871 817219
393,393,85 Nask,Isle of Barra,HS9 5UL, 01871 890539
394,394,37 Ardmhor,Isle of Barra,HS9 5UE, 01871 890614
395,395,72 Craigston,Isle of Barra,HS9 5XJ, 01871 890464
396,396,39 Bruernish,Isle of Barra,HS9 5UX, 01871 817356
397,397,33 Garrygall,Isle of Barra,HS9 5YJ, 01871 810584
398,398,51 Nask,Isle of Barra,HS9 5UN, 01871 817787
399,399,14 Bruernish,Isle of Barra,HS9 5UU, 01871 890750
400,400,35 Bruernish,Isle of Barra,HS9 5YU, 01871 890649
401,401,4 Allasdale,Isle of Barra,HS9 5UA, 01871 810447
402,402,83 Castlebay,Isle of Barra,HS9 5YH, 01871 817208
403,403,48 Ardmhor,Isle of Barra,HS9 5UR, 01871 890332
